id;placed_date;status;code;customer_id
1;2019-12-07T22:35:34;PENDING;deposit Station;1
2;2019-12-07T23:33:24;CANCELLED;black;2
3;2019-12-08T10:59:12;COMPLETED;Generic;3
4;2019-12-07T20:15:33;COMPLETED;open-source hybrid;4
5;2019-12-08T09:48:55;CANCELLED;mobile intermediate;5
6;2019-12-08T08:23:34;CANCELLED;infrastructures incentivize quantify;6
7;2019-12-08T04:28:19;CANCELLED;compress Fantastic Global;7
8;2019-12-08T00:31:31;CANCELLED;streamline;8
9;2019-12-08T12:23:28;CANCELLED;Applications Missouri deposit;9
10;2019-12-08T01:53:19;COMPLETED;Danish Krone parse;10
