id;tracking_code;date;details
1;payment digital;2019-12-06T15:30:47;Checking Account
2;seamless New York mesh;2019-12-07T02:41:21;International
3;Luxembourg Spurs;2019-12-06T15:20:15;middleware Switzerland
4;Data Granite Configuration;2019-12-07T01:22:40;Business-focused Canyon Orchestrator
5;frictionless orchid;2019-12-06T23:16:37;robust
6;Granite Rubber;2019-12-07T09:32:34;Metal deposit
7;Rupiah;2019-12-07T03:18:31;RSS Buckinghamshire Officer
8;teal Licensed Wooden Pants;2019-12-07T06:30:09;Chair Awesome
9;Kiribati;2019-12-07T04:38:41;Regional
10;Bedfordshire;2019-12-06T20:37:09;Ergonomic Soft Shoes
