id;placed_date;status;code
1;2019-12-06T22:24:30;PENDING;EXE payment
2;2019-12-07T09:16:41;PENDING;Data North Dakota
3;2019-12-07T03:52:21;PENDING;Web revolutionize Branding
4;2019-12-06T15:27:37;COMPLETED;Fantastic
5;2019-12-07T12:45:04;CANCELLED;Handcrafted Plastic Shirt quantifying
6;2019-12-07T12:37:48;COMPLETED;Rupiah Personal Loan Account HTTP
7;2019-12-06T19:32:49;COMPLETED;quantify multi-byte
8;2019-12-06T13:25:00;PENDING;Infrastructure SSL bandwidth
9;2019-12-06T19:10:04;PENDING;navigating encoding
10;2019-12-06T15:41:46;COMPLETED;Internal Fantastic time-frame
