id;tracking_code;date;details;invoice_id
1;Iraq Bedfordshire;2019-12-07T20:01:57;encompassing;1
2;Directives;2019-12-08T04:53:38;Mauritania;2
3;facilitate Tasty Concrete Chips Exclusive;2019-12-07T19:56:23;card Plastic;3
4;Computers Personal Loan Account Berkshire;2019-12-08T11:24:55;encompassing;4
5;deposit Canadian Dollar Lebanon;2019-12-08T01:54:15;Dominican Republic Credit Card Account Handmade;5
6;Ergonomic transmitter;2019-12-08T03:49:27;invoice withdrawal;6
7;bypassing optical;2019-12-08T09:02:01;Bedfordshire;7
8;Refined Rubber Gloves Algerian Dinar Clothing;2019-12-08T00:21:39;Future-proofed deposit Sausages;8
9;disintermediate Cambridgeshire hacking;2019-12-07T20:26:04;bandwidth azure;9
10;SMS Enhanced;2019-12-07T20:48:41;parsing;10
