id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;mobile Fish;2019-12-09T22:44:53;Savings Account Dam;ISSUED;CREDIT_CARD;2019-12-10T16:06:24;96990;72199
2;Implementation Electronics Officer;2019-12-10T02:38:28;Home Loan Account;PAID;CREDIT_CARD;2019-12-09T18:05:26;36636;23277
3;Licensed Savings Account;2019-12-10T08:16:54;Planner Canyon;CANCELLED;CREDIT_CARD;2019-12-10T11:55:09;68423;24102
4;Bahamian Dollar Investment Account;2019-12-09T21:27:51;Salad;PAID;CREDIT_CARD;2019-12-10T16:42:33;96958;84228
5;Views e-enable Communications;2019-12-10T00:00:22;archive Georgia Aruba;CANCELLED;CASH_ON_DELIVERY;2019-12-10T10:50:12;14092;29627
6;Car Industrial deliverables;2019-12-10T07:59:01;24 hour;CANCELLED;CREDIT_CARD;2019-12-09T19:30:06;86310;85003
7;Highway Ergonomic;2019-12-10T08:33:40;Lempira;CANCELLED;PAYPAL;2019-12-09T21:05:13;76078;72172
8;Robust Networked;2019-12-10T16:29:25;system Small;ISSUED;PAYPAL;2019-12-10T14:07:00;24929;60441
9;Saint Lucia white;2019-12-09T18:49:56;Money Market Account;ISSUED;PAYPAL;2019-12-10T12:13:05;18657;41650
10;EXE projection Fresh;2019-12-10T08:54:34;Direct;ISSUED;PAYPAL;2019-12-10T10:08:45;695;16465
