id;name;description;price;size;image;image_content_type
1;mobile Fish;Home Loan Account Table Computer;5808;XL;../fake-data/blob/hipster.png;image/png
2;Movies Producer;Implementation Electronics Officer;61748;S;../fake-data/blob/hipster.png;image/png
3;Home Namibia;Steel zero administration;36636;XL;../fake-data/blob/hipster.png;image/png
4;grey Cambridgeshire;Canyon HDD;68030;S;../fake-data/blob/hipster.png;image/png
5;Usability South Dakota envisioneer;Intelligent;68423;S;../fake-data/blob/hipster.png;image/png
6;Buckinghamshire Games;incentivize Tuna copy;42515;S;../fake-data/blob/hipster.png;image/png
7;synthesizing Views e-enable;Credit Card Account National Awesome;19598;M;../fake-data/blob/hipster.png;image/png
8;generating compelling;Home Loan Account;27599;S;../fake-data/blob/hipster.png;image/png
9;Industrial;index orange;552;XL;../fake-data/blob/hipster.png;image/png
10;application quantify Unbranded Plastic Tuna;Internal;85003;M;../fake-data/blob/hipster.png;image/png
