id;tracking_code;date;details;invoice_id
1;Pennsylvania dynamic bandwidth;2019-12-07T04:50:22;mesh system Triple-buffered;1
2;Cotton;2019-12-07T04:34:35;Tools;2
3;Arizona hack;2019-12-06T21:59:13;quantifying;3
4;synthesize Idaho Markets;2019-12-07T07:24:09;asymmetric EXE;4
5;web services;2019-12-06T21:08:56;Strategist;5
6;Incredible Fresh Car Tuvalu;2019-12-06T16:34:06;Gorgeous Rubber Chicken Associate Central African Republic;6
7;magenta heuristic;2019-12-06T16:29:59;Naira iterate;7
8;Unbranded Plastic Chips Brand Regional;2019-12-07T05:27:49;Money Market Account;8
9;Mouse;2019-12-07T00:52:31;facilitate Persevering;9
10;Fantastic;2019-12-06T17:00:51;Architect;10
