id;placed_date;status;code;customer_id
1;2019-12-07T10:42:19;PENDING;calculating withdrawal Nevada;1
2;2019-12-07T14:09:04;COMPLETED;Strategist target;2
3;2019-12-06T18:59:26;PENDING;Cambridgeshire white sensor;3
4;2019-12-07T09:39:39;COMPLETED;Applications Response Human;4
5;2019-12-07T07:30:56;CANCELLED;Strategist SDD;5
6;2019-12-07T09:19:57;CANCELLED;infrastructure;6
7;2019-12-07T12:19:53;CANCELLED;Arkansas Intelligent Credit Card Account;7
8;2019-12-06T16:38:18;CANCELLED;program;8
9;2019-12-06T23:40:16;PENDING;discrete redundant;9
10;2019-12-06T20:57:24;CANCELLED;Avon;10
