id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Refined infomediaries Som;2019-12-07T15:00:10;Corporate;CANCELLED;CREDIT_CARD;2019-12-07T01:04:52;95486;1
2;alarm Jamaica;2019-12-07T01:43:05;paradigms Organic strategic;PAID;PAYPAL;2019-12-06T23:30:42;17533;2
3;Music connect;2019-12-06T21:02:01;e-business Light;ISSUED;PAYPAL;2019-12-07T03:27:16;65869;3
4;Soap Tasty Metal Sausages Outdoors;2019-12-07T02:20:27;Data North Dakota;CANCELLED;PAYPAL;2019-12-06T17:19:52;65148;4
5;teal analyzing yellow;2019-12-07T07:20:43;Ergonomic Rubber Chicken;PAID;CREDIT_CARD;2019-12-06T23:46:13;69673;5
6;Personal Loan Account HTTP;2019-12-06T22:45:28;mobile intermediate;ISSUED;CREDIT_CARD;2019-12-06T21:45:56;58054;6
7;JSON Texas;2019-12-07T10:40:23;Dobra application;CANCELLED;CREDIT_CARD;2019-12-07T09:15:22;89552;7
8;streamline;2019-12-07T16:08:21;Internal Fantastic time-frame;PAID;CASH_ON_DELIVERY;2019-12-07T00:15:33;21272;8
9;Data neural Wooden;2019-12-06T18:03:26;Associate Designer;CANCELLED;CREDIT_CARD;2019-12-06T23:53:12;76151;9
10;Auto Loan Account Refined Practical;2019-12-06T23:34:35;Fantastic Fresh Salad;ISSUED;CREDIT_CARD;2019-12-06T17:39:56;90769;10
