id;tracking_code;date;details;invoice_id
1;Iraq Bedfordshire;2019-12-10T00:50:32;encompassing;1
2;Directives;2019-12-10T09:42:14;Mauritania;2
3;facilitate Tasty Concrete Chips Exclusive;2019-12-10T00:44:58;card Plastic;3
4;Computers Personal Loan Account Berkshire;2019-12-10T16:13:30;encompassing;4
5;deposit Canadian Dollar Lebanon;2019-12-10T06:42:50;Dominican Republic Credit Card Account Handmade;5
6;Ergonomic transmitter;2019-12-10T08:38:02;invoice withdrawal;6
7;bypassing optical;2019-12-10T13:50:36;Bedfordshire;7
8;Refined Rubber Gloves Algerian Dinar Clothing;2019-12-10T05:10:14;Future-proofed deposit Sausages;8
9;disintermediate Cambridgeshire hacking;2019-12-10T01:14:39;bandwidth azure;9
10;SMS Enhanced;2019-12-10T01:37:16;parsing;10
